predicted,actual
697.7689819335938,725.75
676.9515380859375,692.5
732.2472534179688,795.0
657.9630737304688,332.5
565.0748901367188,544.31
725.8855590820312,680.0
834.6224365234375,832.5
562.2730102539062,528.44
384.83050537109375,392.36
376.4508972167969,365.0
688.1986694335938,707.5
563.5670166015625,589.67
405.7857971191406,424.11
509.0885925292969,496.68
324.3083801269531,308.44
257.7667541503906,257.5
415.370849609375,405.0
905.9780883789062,925.0
684.2622680664062,691.73
830.5548706054688,868.0
1033.5433349609375,1090.5
572.1497802734375,589.67
311.85430908203125,317.51
343.507080078125,331.12
288.37176513671875,274.42
324.6065673828125,315.0
412.70697021484375,401.43
499.96392822265625,496.68
591.8678588867188,492.5
750.961181640625,730.0
764.6057739257812,747.5
642.9017333984375,645.0
648.8280639648438,615.0
523.7037353515625,447.0
636.234619140625,620.0
369.45404052734375,369.68
447.9488525390625,445.0
580.541015625,582.87
505.23309326171875,560.0
417.7797546386719,385.0
712.1658325195312,716.68
339.16107177734375,328.85
746.9342651367188,777.5
343.66387939453125,344.73
837.70361328125,600.0
465.79583740234375,457.5
502.0794372558594,630.0
598.4239501953125,482.5
647.7542724609375,659.98
409.19970703125,408.23
644.7543334960938,511.0
409.87677001953125,400.0
502.5859069824219,483.08
534.3021240234375,517.5
290.2376708984375,278.96
613.7877807617188,615.0
415.0624694824219,380.0
595.43701171875,610.0
245.55885314941406,240.4
432.1783447265625,375.0
445.0282287597656,428.64
446.26837158203125,464.93
384.3890686035156,470.0
510.2507629394531,510.0
424.4443054199219,444.52
370.5862731933594,376.48
694.8265991210938,702.5
479.64068603515625,489.88
621.0421142578125,635.03
260.3765563964844,230.0
350.7334899902344,335.0
511.55029296875,478.5
308.3818054199219,352.5
455.9576721191406,453.59
616.3660888671875,639.57
307.9288024902344,315.0
276.0333251953125,242.5
428.3414611816406,430.0
270.0918884277344,267.62
467.85491943359375,310.71
407.2991027832031,442.5
327.67913818359375,331.12
551.494873046875,539.77
545.3369140625,508.02
434.13494873046875,442.5
379.33343505859375,358.34
415.1588439941406,444.52
394.7127380371094,408.23
324.6159362792969,317.51
417.47802734375,369.68
329.2547607421875,322.05
460.2647705078125,630.0
561.4150390625,530.5
675.13134765625,682.5
413.6452331542969,424.11
372.01239013671875,347.0
248.52000427246094,244.94
472.24761962890625,462.5
518.8154296875,490.0
753.2135009765625,807.5
657.94580078125,680.0
441.66168212890625,437.72
903.1446533203125,967.5
659.9373168945312,662.24
662.6028442382812,620.0
514.6627807617188,540.0
510.1092529296875,464.93
585.8209228515625,547.5
358.2718811035156,369.68
741.5059814453125,765.5
319.0993957519531,312.98
501.3913879394531,605.0
615.8900146484375,623.69
420.9186096191406,547.5
474.258544921875,394.63
616.8594970703125,777.5
558.1460571289062,603.28
301.04949951171875,290.3
654.1893310546875,623.69
356.90496826171875,344.73
595.3117065429688,607.81
453.2007141113281,420.0
724.8309936523438,802.5
447.62005615234375,442.5
686.256103515625,685.0
501.74871826171875,497.5
521.6939697265625,597.5
488.4487609863281,422.5
536.1076049804688,551.12
311.1849060058594,301.64
